command,success
./build-packages,Unknown
./build-packages --build-type packages-only --verbose --container-source=pull --container-tag=main,Unknown
./build-packages --container-source=build --verbose --build-type packages-only 2>&1 | head -n 50,Unknown
./build-packages --container-source=build --verbose --build-type packages-only 2>&1 | tee /tmp/build_output.log,Unknown
./build-packages --container-source=build --verbose --index-root-url=${{steps.set-url.outputs.target-url}}/${ {github.ref_name}},Failed
./build-packages --container-source=build --verbose --index-root-url=${{steps.set-url.outputs.target-url}}/${{github.ref_name}},Success
./build-packages --container-source=pull --container-tag=main --verbose --build-type packages-only,Success
./build-packages --container-source=pull --container-tag=main --verbose --build-type packages-only,Unknown
./build-packages --container-source=pull --container-tag=main --verbose --build-type packages-only,Failed
./build-packages --container-source=pull --container-tag=main --verbose --index-root-url=${{steps.set-url.out puts.target-url}},Unknown
./build-packages --container-source=pull --container-tag=main --verbose --index-root-url=${{steps.set-url.out puts.target-url}}/${{github.ref_name}},Unknown
./build-packages --container-source=pull --container-tag=main --verbose --index-root-url=${{steps.set-url.outputs.target-url}},Unknown
./build-packages --container-source=pull --container-tag=main --verbose --index-root-url=${{steps.set-url.outputs.target-url}}/${{github.ref_name}},Unknown
./build-packages --help,Failed
./build-packages --prep-container-only --container-source=build --verbose,Success
./build-packages --verbose --build-type both,Success
./build-packages --verbose --build-type packages-only,Unknown
./build-packages --verbose --build-type packages-only,Success
"./build-packages --verbose --build-type packages-only"")",Success
./build-packages --verbose --build-type packages-only`,Unknown
./build-packages --verbose --build-type packages-only` and transfer the wheel file directly to your OT-2,Unknown
./build-packages --verbose --prep-container-only,Unknown
"./build-packages` (i.e., if you don't want to use `sudo` then the docker socket should be user-accessible).",Unknown
./build-packages`.,Unknown
./build-packages`. It's a python script that should work on anything above python 3.7. You can get usage by running `./build-packages --help`.,Unknown
building **all** wheels required for full Prefect functionality on OT-2.,Unknown
"building a proper armv7l wheel is complex, let me first focus on addressing the immediate URL access issue.",Unknown
"building a proper armv7l wheel with Rust dependencies, let me try a different approach. Maybe I can find an alternative that works, or try using an...",Failed
"building a proper armv7l wheel would require setting up a Rust cross-compilation environment (which is complex), let me try a different approach.",Success
